,artist,song,weeks_on_chart,peak_rank,lyrics,length,word_count,language,language_score
32,6ix9ine,YaYa,1,99,"Ransom got that sauce in it Se pinta los labio', hoy no tiene horario Quiere que la busque en la Lambo Esta noche coronamo' Dale, para terminar lo que empezamo' Oh-oh, baila morena, baila morena Oh-oh, baila morena, baila morena (Baila, baila) Oh-oh, baila morena, baila morena Oh-oh, oh-oh  Una nena así me hacía falta Que metiera mi mano por su falda Se ve que no e' santa Es como yo, que le gusta la maldad Dale, baby, no sea' mala No pare' de moverte que eso me encanta Bebecita, dame una, una probaíta' Tú ere' una mamacita Cuando chingamo', baby, tú nunca te quita' Mueve to' ese booty, tan chulita como Anitta  Tú 'tá dura, manina, nini, yaya Dame tequila, no quiero vaina' Baila, le subo la mini, yaya Tráeme bebida, no quiero agua Quiero manina, nini, yaya (Yaya, yaya) Dame tequila, no quiero vaina' (Yaya, yaya) Baila, le subo la mini, yaya Tráeme bebida, no quiero agua  Ponte friki, frikitona Tú ere' una chapi-chapiadora Ella e' bellaquísima, pero no se enamora Mami, y chingando hay que darte un diploma Ninguna se te iguala Ella me dice: ""Vente, papi"", me la saca (Saca) Y me baila flow Shakira, waka-waka (Waka) Ella tiene culo bello pero e' flaca La baby e' flaca  Quiero manina, nini, yaya Dame tequila, no quiero vaina' Baila, le subo la mini, yaya Tráeme bebida, no quiero agua  La baby 'tá borracha Rakatá, rakatá, rakatá, rakatá Rakatá, rakatá, rakatá, rakatá Mami, ta-ta-ta-ta-ta-ta-ta-ta Ta-ta-ta-ta-ta-ta-ta-ta Ta-ta-ta-ta-ta-ta-ta-ta Ta-ta-ta-ta-ta-ta-ta-ta Ta-ta-ta-ta-ta-ta-ta-ta  Quiero mainini, nini, yaya Dame tequila, no quiero vaina' Baila, le subo la mini, yaya Tráeme bebida, no quiero agua  Luian Mambo Kingz Jowny BF (Fya, fya, fya, fya)",1675,279,es,0.8571386418518162
48,A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up,1,66,!Error!,7,1,de,0.9999960702016999
61,Andy Williams,It's The Most Wonderful Time Of The Year,19,6,"It's the most wonderful time of the year With the kids jingle belling And everyone telling you ""be of good cheer"" It's the most wonderful time of the year  It's the hap-happiest season of all With those holiday greetings And gay happy meetings when friends come to call It's the hap-happiest season of all  There'll be parties for hosting Marshmallows for toasting And caroling out in the snow There'll be scary ghost stories And tales of the glories Of Christmases long, long ago  It's the most wonderful time of the year There'll be much mistletoeing And hearts will be glowing when loved ones are near It's the most wonderful time of the year  There'll be parties for hosting Marshmallows for toasting And caroling out in the snow There'll be scary ghost stories And tales of the glories Of Christmases long, long ago  It's the most wonderful time of the year There'll be much mistletoeing And hearts will be glowing when loved ones are near It's the most wonderful time It's the most wonderful time It's the most wonderful time It's the most wonderful time of the year",1072,187,en,0.9999968844897816
75,Ariana Grande,Breathin,25,12,"​​lacigam gnihtemos od oT ​​thgin laiceps ruoy s'thginot tuB  Some days, things just take Way too much of my energy I look up and the whole room's spinning You take my cares away I can so over-complicate, people tell me to medicate  Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated, mmm Time goes by and I can't control my mind Don't know what else to try, but you tell me every time  Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin', mmm-mmm  Sometimes it's hard to find Find my way up into thе clouds Tune it out, they can be so loud You rеmind me of a time When things weren't so complicated All I need is to see your face  Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated, mmm Time goes by and I can't control my mind Don't know what else to try, but you tell me every time  Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah  My, my air, my, my air My, my air, my air My, my air, my, my air My, my air, yeah  Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah  Feel my blood runnin', swear the sky's fallin', oh, whoa I keep on breathin', oh yeah Time goes by and I can't control my mind I keep on breathin', mmm, yeah",1688,318,en,0.9999984856428097
78,Ariana Grande,Imagine,8,21,"Step up, the two of us, nobody knows us Get in the car like, ""Skrrt"" Staying up all night, order me pad thai Then we gon' sleep 'til noon Me with no makeup, you in the bathtub Bubbles and bubbly, ooh This is a pleasure, feel like we never act this regular  Click, click, click and post Drip-drip-dripped in gold Quick, quick, quick, let's go Kiss me and take off your clothes  Imagine a world like that Imagine a world like that We go like up 'til I'm 'sleep on your chest Love how my face fits so good in your neck Why can't you imagine a world like that? Imagine a world  Knew you were perfect after the first kiss Took a deep breath like, ""Ooh"" Feels like forever, baby, I never thought that it would be you Tell me your secrets, all of the creep shit That's how I know it's true Baby, direct it, name in the credits Like the movies do  Click, click, click and post Drip-drip-dripped in gold Quick, quick, quick, let's go Kiss me and take off your clothes  Imagine a world like that Imagine a world like that We go like up 'til I'm 'sleep on your chest Love how my face fits so good in your neck Why can't you imagine a world like that? Imagine a world  Can you imagine it? Can you imagine it? Can you imagine it? Can you imagine it? Can you imagine it? (Can you imagine?) Can you imagine it? (Can you imagine?) Can you imagine it? (Can you imagine?) Ooh, imagine it (Can you imagine?) Imagine it, imagine it Imagine it, imagine it Imagine, imagine Imagine, imagine Imagine, imagine",1485,283,en,0.9999965386212191
83,Ariana Grande,My Hair,1,65,"Said I'ma give you some instructions That you can't be scared to try I want you to touch it softly Like the way you do my mind It got body and it's smooth to touch The same way as my skin But don't you be scared  To run your hands through my hair Baby, 'cause that's why it's there Come run your hands through my hair Ooh, baby, so don't you be scared So come run your hands through my hair  It's been way long overdue Just like these inches down my back Usually don't let people touch it But tonight, you get a pass Spend my dimes and spend my time To keep it real, sometimes it's tracks But I don't care, mmm  So run your hands through my hair Baby, 'cause that's why it's there Come run your hands through my hair Ooh, baby, so don't you be scared So come run your hands through my hair  Know this ain't usually mе But I might let it down for ya (Mmm) This ain't usually me (Usually me) But I might lеt it down for ya  So run your hands through my hair Baby, 'cause that's why it's there So come run your hands through my hair Ooh, don't you be scared Come run your hands through my hair  Oh-oh, oh-oh Oh-oh, oh-oh",1117,224,en,0.9999978510353666
86,Ariana Grande,Needy,4,14,"If you take too long to hit me back I can't promise you how I’ll react But all I can say is at least I'll wait for you Lately, I've been on a roller coaster Tryna get a hold of my emotions But all that I know is I need you close  I’ma scream and shout for what I love Passionate, but I don't give no fucks I admit that I'm a lil' messed up But I can hide it when I'm all dressed up I'm obsessive and I love too hard Good at overthinking with my heart How you even think it got this far, this far?  And I can be needy, way too damn needy I can be needy, tell me how good it feels to be needed I can be needy, so hard to please me I know it feels so good to be needed  Sorry if I'm up and down a lot (Yeah) Sorry that I think I'm not enough And sorry if I say sorry way too much You can go ahead and call me selfish (Selfish) But after all this damage, I can’t help it (Help it) But what you can trust is I need your touch  I’ma scream and shout for what I love Passionate, but I don't give no fucks I admit that I’m a lil' messed up But I can hide it when I'm all dressed up I'm obsessive and I love too hard Good at overthinking with my heart How you even think it got this far, this far?  And I can be needy, way too damn needy I can be needy, tell me how good it feels to be needed I can be needy, so hard to please me I know it feels so good to be needed",1357,299,en,0.9999980113108478
87,Ariana Grande,Obvious,1,70,"I love the taste of you in the morning Keep me warm and Nothin' else, nothin' more important Makes me wanna believe in love (Mmm) I love the thought of us in the evening Crave the feeling The way you feel, somethin' 'bout it's healing I'm praying we don't fuck this up (Ah-ah-ah, babe)  Others that I've had had to impress me before But I knew you were the real thing When you walked through the door I didn't think that I would have to spell it out  Don't put the bands, put the bands on me Oh, my love, oh, my love is free Ain't no price on my loyalty No shit, got me right where you want me, baby Could I be more obvious? (Ooh) Hard to think when I'm under you Tell you all of my dirty truths No shit, got me right where you want me, baby Could I be more obvious?  Maybe if I'm lucky, you might stay the afternoon If you gotta work, just promise me you'll come back soon Maybe you should pack a suitcase too (Too) I love the thought of you never leavin' (No) Days repeatin' Gettin' steps up on the treadmill while you sleepin' Never thought I'd believe in love again  Others that I've had had to impress me before (Ooh) But I knew you were the real thing When you walked through the door I didn't think that I would have to spell it out  Don't put the bands, put the bands on me Oh, my love, oh, my love is free Ain't no price on my loyalty No shit, got me right where you want me, baby Could I be more obvious? (Ooh) Hard to think when I'm under you Tell you all of my dirty truths No shit, got me right where you want me, baby Could I be more obvious? (Obvious)",1566,315,en,0.9999979288517604
90,Ariana Grande,Shut Up,1,47,"My presence sweet and my aura bright Diamonds good for my appetite Guess it fuckin' just clicked one night All them demons helped me see shit differently So don't be sad for me  How you been spending your time? (How?) How you be using your tongue? (How?) You be so worried 'bout mine (Mine) Can't even get yourself none You know you sound so dumb (So dumb, so dumb) You know you sound so dumb (So dumb)  So maybe you should shut up, mmm Yeah, maybe you should shut up Said if only you would shut up (Mmm) Yeah, that's right, you should shut up (Ah)  I vibrate high and my circle lit We ain't really with drugs and shit Love the game so I ain't nevеr miss Keep opinions muted for the hell of it 'Causе I like my shit (Mmm, yep)  How you been spending your time? (How?) How you be using your tongue? (How?) You be so worried 'bout mine (Mine) Can't even get yourself none You know you sound so dumb (So dumb, so dumb) You know you sound so dumb (So dumb)  So maybe you should shut up, mmm Yeah, maybe you should shut up Said if only you would shut up (Mmm) Yeah, that's right, you should shut up (Ah)",1098,216,en,0.9999979646516631
93,Ariana Grande,West Side,1,71,"I don't wanna think too much I just wanna feel You know that it ain't no rush Let me keep it real Just let me be in your life like that In your life like that I'll bring the light right back I'll bring the life right back  I'm gonna make you want more (More) I'm gonna be your new favorite Tell 'em you closing the door I am the only for sure Oh, babe  Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me on the west side for me Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me  I don't want it if it ain't your touch It's better every time we chill You ain't gotta bring no stuff We got all we need right here Just let me be in your life like that Be your wife like that I'll bring the light right back I'll bring the life right back  I'm gonna make you want more (More) I'm gonna be your new favorite Tell 'em you closing the door I am the only for sure, baby Oh, babe, yeah  Hold up, there shouldn't be no hold up (Hold up) There's more love if you follow emotions (Emotions) Show up, now if you're down to roll up (Roll up) Meet me on the west side for me Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me on the west side for me  Mmm",1368,286,en,0.9999955925567258
